Intel Core i7-4790K, 4, 4.0, 4200
AMD FX-8350, 8, 4.0, 3200
Intel Core i5-4690K, 4, 3.5, 3700
AMD FX-8370, 8, 4.0, 3200
Intel Core i7-4790, 4, 3.6, 4000
AMD FX-8320, 8, 3.5, 3000
Intel Core i5-4590, 4, 3.3, 3500
AMD A10-7850K, 4, 4.0, 2500
Intel Core i3-4150, 2, 3.5, 2000
AMD A8-7600, 4, 3.1, 2000
Intel Core i7-5960X, 8, 3.0, 7000
AMD A10-7800, 4, 3.5, 2500
Intel Core i5-4460, 4, 3.2, 3200
AMD A6-7400K, 2, 3.5, 1300
Intel Core i7-5930K, 6, 3.5, 5700
AMD Athlon X4 860K, 4, 3.7, 2200
Intel Pentium G3258, 2, 3.2, 1200
AMD Athlon X4 840, 4, 3.1, 1900
Intel Core i7-5820K, 6, 3.3, 5400
AMD Athlon X4 750K, 4, 3.4, 1800
Intel Core i9-11900K, 8, 3.5, 5900
AMD Ryzen 9 5950X, 16, 3.4, 9700
Intel Core i7-11700K, 8, 3.6, 6000
AMD Ryzen 9 5900X, 12, 3.7, 8000
Intel Core i5-11600K, 6, 3.9, 4500
AMD Ryzen 7 5800X, 8, 3.8, 6800
Intel Core i9-11900, 8, 2.5, 5700
AMD Ryzen 7 5700X, 8, 3.8, 6500
Intel Core i7-11700, 8, 2.5, 5600
AMD Ryzen 5 5600X, 6, 3.7, 5200
Intel Core i5-11400, 6, 2.6, 4300
AMD Ryzen 5 5600, 6, 3.3, 5000
Intel Core i9-11900T, 8, 1.5, 4800
AMD Ryzen 9 5980HS, 8, 3.3, 8000
Intel Core i7-11700T, 8, 1.4, 4500
AMD Ryzen 7 5800HS, 8, 3.2, 6800
Intel Core i5-11400T, 6, 1.3, 3700
AMD Ryzen 5 5600H, 6, 3.3, 5200
Intel Core i7-11800H, 8, 2.3, 5500
AMD Ryzen 9 5900HS, 8, 3.3, 7800
Intel Core i9-10900K, 10, 3.7, 6200
AMD Ryzen 9 3950X, 16, 3.5, 9500
